g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.077,1,4,0.0235517024993896,0.0714531622412101,-0.0028223387541949,-0.0195232713313486,-0.0223751213737727,-0.0314821573766041,-2.826945465041404,-3.289037867059154,-inf
0.078,1,4,0.0234687328338623,0.0831057619533741,0.0131224060183251,-0.0119710363053215,-0.0244657548470569,-0.0284575998130195,-1.052847431212493,-2.841426642323603,-inf
0.079,1,4,0.023453950881958,0.079455751499283,0.0031061849544957,-0.0180025707302445,-0.0291288841967743,-0.0346558169838935,-1.5444627375926914,-3.2944999804205537,-inf
0.08,1,4,0.0234510898590087,0.0704243791025719,0.0028660136480019,-0.0200642132040775,-0.0215524389331867,-0.0532567626958806,-2.098725122802798,-3.327858710507636,-inf
0.081,1,4,0.038454532623291,0.0613020606075322,-0.0046211374012764,-0.0162519582384354,-0.0251041299261978,-0.0391130041126875,-2.679532851915019,-3.257906936808887,-inf
0.082,1,4,0.0233612060546875,0.0584375024351241,-0.0031071827676534,-0.0175679925167441,-0.0220797459832579,-0.0564109518325206,-2.5846899865248725,-3.1856587330328874,-inf
0.083,1,4,0.0233125686645507,0.0592060119035646,-0.0034561649954704,-0.0179017471491295,-0.0223688829894684,-0.0333005858353779,-2.6801211288318263,-3.303149291775985,-inf
0.084,1,4,0.0386188030242919,0.0952854239135987,0.004990158552737,-0.011451505164803,-0.0286001538306168,-0.0338095742594107,-0.6077244878271981,-inf,-inf
0.085,1,4,0.0379881858825683,0.0536995506390857,0.0032594328579296,-0.0148840383421656,-0.0195068332417148,-0.0276970739516931,-1.535852970982849,-2.6958451664858427,-inf
0.086,1,4,0.0384595394134521,0.0599989503080071,-0.0011518378084585,-0.0114925555387831,-0.0186881952143508,-0.0273097455414218,-1.793951112151738,-inf,-inf
0.087,1,4,0.0388324260711669,0.0703727766117108,-0.0058571699296566,-0.0197360600758614,-0.0217630227161435,-0.0363703706091017,-2.7300622993708084,-inf,-inf
0.088,1,4,0.0381374359130859,0.0665626433269509,0.0038889861479127,-0.0102795105341511,-0.0234709981917125,-0.0344294396291581,-1.0085936079741489,-3.00391372236195,-inf
0.089,1,4,0.0388381481170654,0.0650861449396691,0.0028584171101727,-0.0103191762172484,-0.0250647753329531,-0.0294050432811438,-1.36330354341833,-3.189923857300254,-inf
0.09,1,4,0.0417447090148925,0.090579671681315,0.0107355149001321,-0.0099560889197478,-0.0152494880486435,-0.0321403433333001,-0.4510631387591607,-inf,-inf
0.091,1,4,0.0232865810394287,0.0716726240474648,0.0027055356691197,-0.0133083499164177,-0.0182885978193254,-0.0267844295614481,-1.4341801409665598,-3.3544461041175686,-inf
0.092,1,4,0.0234522819519042,0.0623152559631174,-0.0025000853656447,-0.0160791843198937,-0.0224554811735923,-0.0305268965660395,-1.7796878731025942,-3.440220208576397,-inf
0.093,1,4,0.023179292678833,0.0724761884375603,0.0031249772288312,-0.0222965581772498,-0.02341133018343,-0.0347142776064358,-1.8814188377454024,-3.156304149874424,-inf
0.094,1,4,0.0236835479736328,0.0273916626489649,-0.0057368836987482,-0.0196376146845393,-0.0196729836816368,-1.244755587886179,-2.5700901657868784,-4.533213769840477,-inf
0.095,1,4,0.0385146141052246,0.0731692815052386,-0.0004240297305498,-0.0148043586753918,-0.0221253694602472,-0.0327362223141244,-1.807091018290394,-inf,-inf
0.096,1,4,0.0415825843811035,0.0687904513404813,-0.0038193258289629,-0.0116219355047261,-0.0174708926534963,-0.0328377240003528,-1.265760316801778,-3.279736138975501,-inf
0.097,1,4,0.0235304832458496,0.0405896196816879,0.0009004641873124,-0.0178260373160797,-0.0185600961969488,-0.0601036043187149,-2.0438748326535845,-3.471636357625622,-inf
0.098,1,4,0.0235834121704101,0.0713779611719952,0.0104131774026213,-0.0122801186232431,-0.0180687019140317,-0.029477571248757,-0.5169218418938879,-2.942042421218229,-inf
0.099,1,4,0.0232520103454589,0.0621686803821874,0.0063657068971201,-0.0112689346537348,-0.0138639866166089,-0.0228166530444401,-0.5197900693419599,-2.3036415415575915,-inf
0.1,1,4,0.0380289554595947,0.0629322813238366,-0.0011459458245136,-0.0165942885402928,-0.0221210476100355,-0.0384206207326754,-2.086494182831596,-inf,-inf
0.101,1,4,0.023592472076416,0.0518521080206783,-0.0031832497763805,-0.0145316024160097,-0.0210491364168975,-0.0428545662440696,-2.781087910553784,-3.575954195843252,-inf
0.102,1,4,0.0232634544372558,0.0614399161708596,0.0003395610019202,-0.0137898970897823,-0.0162458512434699,-0.0337128182170014,-2.0000717151498053,-3.59797509249217,-inf
0.103,1,4,0.0417304039001464,0.0813712178488075,-0.0005702835492453,-0.0104750943786149,-0.0158601521392146,-0.0323607415192314,-1.4669906168186155,-3.2552608684731554,-inf
0.104,1,4,0.0233159065246582,0.0515121702887248,-0.002860691386939,-0.0205190578690771,-0.0209032994944561,-0.0719359645360436,-2.6728963974100752,-3.419240365683781,-inf
0.105,1,4,0.0234172344207763,0.0533418112278983,-0.0054976236655298,-0.0159724761131565,-0.0173243660518737,-0.0358481448867696,-2.7718657040437846,-3.711410475133765,-inf
0.106,1,4,0.0235126018524169,0.0612125334264044,0.0020259802967829,-0.0170057297635107,-0.0225113168204916,-0.0327791491371564,-2.9075639185366287,-3.528559578233524,-inf
0.107,1,4,0.0387415885925293,0.0798519289542135,-0.0027088681712923,-0.0126550511903489,-0.0186447204789257,-0.0315879848497376,-1.3471992367783436,-3.353443958676809,-inf
0.108,1,4,0.0232548713684082,0.0466606356840822,-0.0030875773066516,-0.0105610336879269,-0.0182084941760432,-0.0322405152403975,-1.461448401227538,-3.1308008463898567,-inf
0.109,1,4,0.0230088233947753,0.0542669281735526,-0.0014427839663136,-0.0131387896636827,-0.0154635522672918,-0.0284313725861478,-0.8974559281680443,-2.993473339259696,-inf
0.11,1,4,0.0422964096069335,0.0635632666325888,0.0014459730364048,-0.0103707987939749,-0.0159392688263139,-0.0226818972052024,-1.154708146383273,-inf,-inf
0.111,1,4,0.0233705043792724,0.0534939033187416,-0.0034199301060003,-0.0107329361591442,-0.0171220709082224,-0.0339001681919103,-1.7828208335809452,-3.5530925970613727,-inf
0.112,1,4,0.0233399868011474,0.074406303794248,0.0025480013584359,-0.0111474267891201,-0.0164453007451338,-0.0418490286552573,-1.0570780959581485,-2.654785646285525,-inf
0.113,1,4,0.0229721069335937,0.0605620635564395,-0.0066658106154021,-0.0147373915895658,-0.0149412112269512,-0.032067603004364,-2.8372889467781106,-3.673791164921931,-inf
0.114,1,4,0.0383229255676269,0.06286309043753,-0.0036307925182081,-0.0163936409027278,-0.018597881941622,-0.0396133762067298,-2.842696749501257,-3.591925191669696,-inf
0.115,1,4,0.0233690738677978,0.0388219809013036,-0.0051217170337955,-0.0183858341783427,-0.0193673574802233,-0.0403969730694331,-3.189088732370645,-3.611003379883674,-inf
0.116,1,4,0.0235219001770019,0.0595613836181594,-0.0044712551980333,-0.0176845757178775,-0.0182247320532187,-0.0595779293555246,-2.901119386404174,-3.780570052327872,-inf
0.117,1,4,0.0234925746917724,0.0435191635641202,-0.0041895732635042,-0.0150486395710195,-0.0157481043161704,-0.0511070859156085,-2.762650058423669,-3.619326479674665,-inf
0.118,1,4,0.0417304039001464,0.0536077153533693,-0.0061230146527409,-0.016376991114143,-0.0169546692877961,-0.0425206536786587,-2.324563386793032,-inf,-inf
0.119,1,4,0.0239853858947753,0.0794063049275409,-0.006267435151558,-0.0147331407148952,-0.015079834337812,-0.0375477127913439,-2.263120014171022,-3.3122859966082525,-inf
0.12,1,4,0.0233051776885986,0.0562964847649502,-0.0029572214862068,-0.0136753580974287,-0.014722385193641,-0.032588929722534,-2.9509187886655086,-3.659408703484453,-inf
0.121,1,4,0.0231783390045166,0.050871454139275,0.0002320815410493,-0.0113596827355896,-0.0136970282471743,-0.0421588123722545,-1.4513323701444487,-3.385216326786606,-inf
0.122,1,4,0.0234708786010742,0.0489117288095696,-0.0036329078963898,-0.014540071793792,-0.0153105933130904,-0.0494743077327672,-2.946261945143326,-3.548191146443872,-inf
0.123,1,4,0.0233325958251953,0.0517204603509097,-0.0010169771930338,-0.0126402158904991,-0.0126434029210428,-0.0312939115165071,-1.2455454989012884,-3.237344496409003,-inf
0.124,1,4,0.0234208106994628,0.069193054409686,-0.0046761415016112,-0.012662848354093,-0.0172097412864436,-0.0400413971328835,-1.900193577229775,-3.4287803672954387,-inf
0.125,1,4,0.0413548946380615,0.059194732916072,-0.003104700241705,-0.0139118042363646,-0.0153193316141804,-0.0664155265301828,-3.0546399401718958,-3.6264600705907823,-inf
0.126,1,4,0.0236663818359375,0.0356888899439692,-0.0013227997852545,-0.0118264779623532,-0.0136963919574418,-0.0556551434127754,-3.139944376023393,-3.8887372081962894,-inf
0.127,1,4,0.0234990119934082,0.0546964347136353,1.6936705023643306e-05,-0.0131726579425679,-0.0155623692963255,-0.0304752674915124,-1.144149988561212,-3.3311962942616056,-inf
