g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.026,2,4,0.2544867992401123,0.0022470649566159,0.0021538160505612,-0.0183886759639312,-0.0188755844969843,-0.0198449266842559,-0.0208986937182658,-0.0251188349721455,-0.0302847608171084,-0.0334516461877721,-0.0339314836833331,-0.0341561545754332,-0.0350095037018503,-0.0362190793751956,-0.0414161764154792,-0.0489269286041004,-0.0502449887237437,-0.050579894651088,-0.0549339095211716,-0.0619114177023393,-0.0624333323920639,-0.0708939417203453,-0.2485224559757812,-0.2966165115667001,-0.361093665567711,-0.4269917455264717,-0.4979761277525141,-0.7284396874015724,-1.3317659883070043,-3.389471918540691,-5.854566835533434,-inf,-inf
0.027,2,4,0.2356352806091308,0.0043170444877046,0.0017321251643944,-0.0177830419713542,-0.0192168974574019,-0.0193127215292014,-0.0205109886889957,-0.0255292409608231,-0.0297389752640283,-0.0329211404452616,-0.0335483639262948,-0.0358594570425274,-0.0361769306375288,-0.0402189306693686,-0.0403694813299972,-0.0455818679490651,-0.0475795997776598,-0.0527746285717513,-0.0536532566805937,-0.0613193930545995,-0.0635075157888579,-0.0688560229436098,-0.2217200160311001,-0.3250233913434437,-0.3792272647279415,-0.4529561312462384,-0.5423096704571513,-0.9319683927245426,-1.6191840819127477,-3.16131733291076,-13.066638256486591,-inf,-inf
0.028,2,4,0.2384638786315918,0.006360506180336,0.0059479445234048,-0.0167247961103038,-0.0195159808187473,-0.0198063445603293,-0.0222120264205914,-0.0264948633344744,-0.027777658767794,-0.0319483983318165,-0.0320274820835278,-0.034957549315489,-0.0352559631336832,-0.0367492002036007,-0.0388462678789336,-0.0418279635045686,-0.0432844482452854,-0.0496251544260572,-0.0510656122459222,-0.0566715503242454,-0.0590754914835126,-0.0693831249124278,-0.1616875515844454,-0.2484336247424038,-0.3172203570769379,-0.3950619856143553,-0.4937280909071385,-0.6487198715149947,-1.23813898417742,-2.444999154013848,-6.087044753148049,-13.238517802965864,-inf
0.029,2,4,0.2403590679168701,0.0069368470042443,0.0064833369420039,-0.01746546870897,-0.0182402253587679,-0.0206271286363698,-0.0208580653597036,-0.0262615918293342,-0.0266050154070655,-0.0321422135157043,-0.0325109942403659,-0.0342983337752947,-0.0361343694248593,-0.0370030008603771,-0.03867452598929,-0.0442884196349547,-0.0450909949850701,-0.0476300649493152,-0.049118187974192,-0.0520892617662629,-0.0579958343284911,-0.0748481103032258,-0.1648473403382802,-0.2402818950527245,-0.2994956943690976,-0.3721131826375117,-0.4739574017017677,-0.6807413566377494,-1.2289486270606464,-2.83659719926976,-6.217572058170404,-inf,-inf
0.03,2,4,0.1455075740814209,0.0107140033642517,0.0101033158046715,-0.0165037605328308,-0.0181579662953549,-0.0198937486403634,-0.0224672032067632,-0.0236320259078021,-0.0264102674409371,-0.0314837224626521,-0.0318171189928634,-0.0349996739874742,-0.0351432311239077,-0.0365845154866677,-0.0378912929015832,-0.0402142551154557,-0.0448160951447898,-0.0472086330643536,-0.0488274737594161,-0.0550010564768128,-0.0576199798165744,-0.0660528921141792,-0.1651823103053938,-0.2634955483391371,-0.3321173389182402,-0.4050588543918137,-0.5179570946020787,-0.7290738203609752,-1.3401158407051117,-2.895787345758804,-6.159687922354063,-13.068861192941354,-inf
0.031,2,4,0.1477110385894775,0.0131021077637779,0.0129392539053667,-0.0157746287914521,-0.0173601748655345,-0.0195009765546723,-0.0200952835488782,-0.0227331868643747,-0.0271247766352197,-0.0285976213151309,-0.0299820357846692,-0.0328507827947392,-0.0329038036311739,-0.0352472719173904,-0.035543041548379,-0.0391720807674067,-0.0412820622372918,-0.0448995417965301,-0.0460708978622844,-0.0505303583387363,-0.0552504894251539,-0.0678657082540105,-0.167698275868158,-0.2403439346537416,-0.3018993474772902,-0.382032919839854,-0.5003672380801834,-0.6456607391244832,-1.3210161008924624,-2.5537757160628374,-6.2653485965615765,-13.362495166802184,-inf
0.032,2,4,0.2309799194335937,0.0157735112857267,0.014001616020993,-0.0157442554624534,-0.0167704454624312,-0.0194038426874004,-0.0195564662908314,-0.0245102277285589,-0.0253161420965573,-0.028572963747364,-0.0288739676058425,-0.0311689926687179,-0.0323447470189689,-0.0332349388456464,-0.0345181464458788,-0.038113989118987,-0.0381941991063835,-0.0430570031083389,-0.0441853934202512,-0.0459223171698543,-0.0535173380205353,-0.0637038247794206,-0.1321051669441992,-0.188373388228291,-0.2535593702867035,-0.3354895955228962,-0.4736348752773962,-0.6218533326362253,-1.2088484453452046,-2.816405632754976,-5.965448144950793,-inf,-inf
0.033,2,4,0.2334847450256347,0.018117942033541,0.0169796418374476,-0.01490965914803,-0.015466379629898,-0.0180066957418511,-0.018804403029357,-0.0225743760674654,-0.0272086035955334,-0.0286138827382903,-0.0303645970624617,-0.0308683979453667,-0.0335770688151338,-0.0349313745434302,-0.0360224781976576,-0.0378959747613375,-0.0383561440188596,-0.0415037571104427,-0.0423937547291873,-0.0449591664609963,-0.0469812147368071,-0.0559325879379325,-0.2134433290576545,-0.2832217701168604,-0.3328763316702621,-0.4220857055394211,-0.5370194631474028,-0.7706763005884082,-1.4115684554445904,-2.9746677979292966,-6.545869446936363,-12.958568133649251,-inf
0.034,2,4,0.1445934772491455,0.0202749599978549,0.0196356168511104,-0.0159353876476062,-0.0168988825493794,-0.0185975505960219,-0.0192417466701764,-0.0224569125181794,-0.024164661461984,-0.0257569186999783,-0.0274573765793007,-0.0299059656136611,-0.0310400120919991,-0.0315900329947735,-0.0326584842410686,-0.0363058016215306,-0.0366658369481303,-0.0398180120962019,-0.0414526657049901,-0.0454850732881313,-0.0492384681632273,-0.0603832299638091,-0.1863639116104602,-0.2578462897788392,-0.3235477600345178,-0.4050854458922299,-0.5132279100002562,-0.7140347236877704,-1.4974354008500366,-2.93816266828562,-6.628125815891143,-12.8494952032279,-inf
0.035,2,4,0.1482596397399902,0.0218798053753322,0.0205935808821596,-0.0154618939303502,-0.0168332969559398,-0.0171510243380981,-0.0183277742977617,-0.0217805882203644,-0.0218768201408764,-0.0259681819493953,-0.026500319149559,-0.0294164943525526,-0.0299611980201474,-0.030487319614722,-0.0326392941277493,-0.0350136532336146,-0.037636920614433,-0.0384758780202784,-0.0408402407720826,-0.0444889683091885,-0.0484768906859294,-0.059841625100881,-0.1612531353686767,-0.2459040634925391,-0.3230269287531621,-0.4056653759838597,-0.518122867411002,-0.7030389935767491,-1.3817172645201914,-2.6921356187842296,-5.9838378710492535,-13.154097288609616,-inf
