g_value,n,lambda_1,current_zeta_value,runtime
0.0124,2,0.0584244010403823,8,0.7823817729949951
0.0126,2,0.053437522842289,8,0.7948062419891357
0.0128,2,0.0579829422315368,8,0.7806692123413086
0.013,2,0.0632258037128108,8,0.7866029739379883
0.0132,2,0.0564930192316741,8,0.7818257808685303
0.0134,2,0.0566868137316667,8,0.7855761051177979
0.0136,2,0.0618919187240961,8,0.7898797988891602
0.0138,2,0.0610811262536092,8,0.7883758544921875
0.014,2,0.0552406178178583,8,0.777292013168335
0.0142,2,0.0558760134335012,8,0.7928228378295898
0.0144,2,0.0601149065806846,8,0.7878420352935791
0.0146,2,0.060882410671433,8,0.7841067314147949
0.0148,2,0.0601648880409776,8,0.8258800506591797
0.015,2,0.0625535999887948,8,0.7823920249938965
0.0152,2,0.0564270639464063,8,0.7868173122406006
0.0154,2,0.0581356819389351,8,0.7881767749786377
0.0156,2,0.0592526838089542,8,0.784726619720459
0.0158,2,0.0620052008123376,8,0.7879536151885986
0.016,2,0.0551654015948888,8,0.8207871913909912
0.0162,2,0.0571085096116696,8,0.7839474678039551
0.0164,2,0.0584164283282806,8,0.8021533489227295
0.0166,2,0.0531225989161547,8,0.7928211688995361
0.0168,2,0.0581280383384669,8,0.7919888496398926
0.017,2,0.0564069584582068,8,0.7905185222625732
0.0172,2,0.0529814110351921,8,0.8162000179290771
0.0174,2,0.0566654430469839,8,0.8038413524627686
0.0176,2,0.0545981881775781,8,0.7848577499389648
0.0178,2,0.0629364796941934,8,0.7957444190979004
0.018,2,0.0532756991032096,8,0.8082919120788574
0.0182,2,0.0572238951705803,8,0.812842607498169
0.0184,2,0.057066054907453,8,0.7850594520568848
0.0186,2,0.0512262095004398,8,0.8200123310089111
0.0188,2,0.0576809917636505,8,0.7874879837036133
0.019,2,0.0605351672595647,8,0.8010096549987793
0.0192,2,0.0548063405312648,8,0.7846307754516602
0.0194,2,0.0556652621580277,8,0.7862982749938965
0.0196,2,0.0535702478938158,8,0.81577467918396
0.0198,2,0.0534691676407791,8,0.7869069576263428
0.02,2,0.0565255942349352,8,0.8095614910125732
0.0202,2,0.0531232452137913,8,0.7977681159973145
0.0204,2,0.0524109185401614,8,0.7876942157745361
0.0206,2,0.0581758645813426,8,0.8043982982635498
0.0208,2,0.0560793733433297,8,0.7824623584747314
0.021,2,0.0532543546722209,8,0.8187360763549805
0.0212,2,0.0564848891780091,8,0.7852132320404053
0.0214,2,0.0540330003889424,8,0.7937436103820801
0.0216,2,0.0546436049145725,8,0.8143744468688965
0.0218,2,0.0509435936067355,8,0.782912015914917
0.022,2,0.0536951970489472,8,0.7923769950866699
0.0222,2,0.0535983103983794,8,0.8229312896728516
0.0224,2,0.0528479806638893,8,0.7875621318817139
0.0226,2,0.0545437188703796,8,0.8058085441589355
0.0228,2,0.0522118136546841,8,0.8110027313232422
0.023,2,0.0529273787332087,8,0.7852332592010498
0.0232,2,0.0526445467199499,8,0.8161344528198242
0.0234,2,0.0535860350239896,8,0.7828683853149414
0.0236,2,0.0511436044479612,8,0.7850496768951416
0.0238,2,0.0565441245410088,8,0.7891497611999512
0.024,2,0.052471627955222,8,0.7848477363586426
0.0242,2,0.0598916145099304,8,0.7777562141418457
0.0244,2,0.0556230130880603,8,0.7885165214538574
0.0246,2,0.0499651753714861,8,0.7801518440246582
0.0248,2,0.0561911032739085,8,0.7853810787200928
0.025,2,0.0544590425730105,8,0.785306453704834
0.0252,2,0.0512324723564282,8,0.7993073463439941
0.0254,2,0.0522369137433653,8,0.7899925708770752
0.0256,2,0.047722038921456,8,0.824005126953125
0.0258,2,0.0513498369842304,8,0.7722899913787842
0.026,2,0.0549466032633184,8,0.7801523208618164
0.0262,2,0.0518473220706514,8,0.8231358528137207
0.0264,2,0.0523483268951906,8,0.8331160545349121
0.0266,2,0.0526177161115436,8,0.7843761444091797
0.0268,2,0.057171651212545,8,0.7827632427215576
0.027,2,0.0522998228818591,8,0.8275866508483887
0.0272,2,0.0508310896819115,8,0.7787108421325684
0.0274,2,0.0500253612419289,8,0.7768979072570801
0.0276,2,0.055339218587902,8,0.7733843326568604
0.0278,2,0.0525416071424027,8,0.7971956729888916
