g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.043,1,4,0.0376374721527099,0.0313949433082441,0.0079130138339312,-0.0064897648734372,-0.0065366295467568,-0.0330558271076271,-0.0828812136920385,-0.2576012445774086,-inf
0.044,1,4,0.0229339599609375,0.0334208148429822,0.0102409209882694,-0.0051960348439978,-0.0051984942850279,-0.0325628464741594,-0.1003078127923863,-0.2667252915698434,-inf
0.045,1,4,0.022928237915039,0.0373293767580398,0.0083861825147962,-0.0028333975494071,-0.0034818096723983,-0.0401415866169294,-0.1023956323168795,-0.3204992357810091,-inf
0.046,1,4,0.0228538513183593,0.0336006391805226,0.0063341587887265,-0.0040705389583942,-0.0047991369434435,-0.0382923040212997,-0.0998424317027881,-0.2359791505509314,-inf
0.047,1,4,0.0409374237060546,0.0411437917810617,0.005282772324375,-0.0021484831779152,-0.0050623929876706,-0.0368562443067675,-0.1028697464139538,-0.3126870740602327,-inf
0.048,1,4,0.0379807949066162,0.0376575486808843,0.0089498782837291,-0.0034898812292422,-0.0040080000346652,-0.0377597973792551,-0.088887687732758,-0.2290965705681886,-inf
0.049,1,4,0.0228872299194335,0.0338239860093247,0.0049399917288554,-0.0056744319244805,-0.008831877999863,-0.038320367553776,-0.0992014956887196,-0.3006981797623381,-inf
0.05,1,4,0.0227258205413818,0.0427586213096126,0.0072354334982549,-0.0043175741698688,-0.0046592479880256,-0.0389646991371449,-0.0968767768990526,-0.2921560747360665,-inf
0.051,1,4,0.0374443531036376,0.0409876670968671,0.0057570124155557,-0.0053323083256391,-0.0064678839432214,-0.0372156737013462,-0.0990207528826957,-0.2558218057110531,-inf
0.052,1,4,0.023008108139038,0.0359098193645456,0.0055506052285412,-0.0055795534003652,-0.0073212714755689,-0.0365762106541415,-0.0945588905285095,-0.2997656389792488,-inf
0.053,1,4,0.0228462219238281,0.0356365742881355,0.0044690919993846,-0.0035016833715387,-0.009980310154839,-0.0393422517012736,-0.1071793384569616,-0.2776265990743001,-inf
0.054,1,4,0.0231530666351318,0.0313509009083738,0.0020733297500885,-0.0059932604983018,-0.0070364100966688,-0.0348819065695474,-0.1069571260905564,-0.2874774372319904,-inf
