g_value,n,lambda_1,current_zeta_value,runtime
0.0098,2,0.0734601880163336,8,0.7882237434387207
0.01,2,0.0744980708535836,8,0.783348798751831
0.0102,2,0.0712181206151218,8,0.8176796436309814
0.0104,2,0.0732448197014389,8,0.8165404796600342
0.0106,2,0.0716252183255646,8,0.8211808204650879
0.0108,2,0.0711741784966287,8,0.779670000076294
0.011,2,0.0729329930442304,8,0.8126626014709473
0.0112,2,0.072560329347708,8,0.805213212966919
0.0114,2,0.0708709070658252,8,0.7827944755554199
0.0116,2,0.0722601945147303,8,0.8203802108764648
0.0118,2,0.0674006163311226,8,0.7920486927032471
0.012,2,0.069812976447569,8,0.8239929676055908
0.0122,2,0.0703556505155779,8,0.820875883102417
0.0124,2,0.0679271607338641,8,0.7830691337585449
0.0126,2,0.0691742425272369,8,0.7908284664154053
0.0128,2,0.0687545822549618,8,0.7836582660675049
0.013,2,0.0696627369461662,8,0.7914474010467529
0.0132,2,0.0673999802294471,8,0.7785165309906006
0.0134,2,0.0674016250390244,8,0.7861359119415283
0.0136,2,0.0653246837388699,8,0.8167071342468262
0.0138,2,0.0677984121150963,8,0.8128805160522461
0.014,2,0.0661475747027965,8,0.7849714756011963
0.0142,2,0.0654492531420807,8,0.8322889804840088
0.0144,2,0.0671840509441491,8,0.7901012897491455
0.0146,2,0.065372915067468,8,0.783463716506958
0.0148,2,0.0661517578491461,8,0.8178355693817139
0.015,2,0.0668834979928268,8,0.7828893661499023
0.0152,2,0.0667304140448412,8,0.7831311225891113
0.0154,2,0.0652612555858911,8,0.7853291034698486
0.0156,2,0.0704286760122361,8,0.7824649810791016
0.0158,2,0.066812351621867,8,0.7975025177001953
0.016,2,0.0647298216953767,8,0.8092241287231445
0.0162,2,0.0661971892504017,8,0.7760534286499023
0.0164,2,0.0664362197589402,8,0.7767148017883301
0.0166,2,0.0672809339398763,8,0.8245675563812256
0.0168,2,0.063218410694968,8,0.7872939109802246
0.017,2,0.0646814348888383,8,0.8055546283721924
