g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.02,2,4,0.1246173381805419,0.0595783455854862,0.0051265650506196,-0.0046377581344548,-0.0046966316240429,-0.0058745220200235,-0.0070789832842163,-0.0071088313154488,-0.007265567794006,-0.0074688743273788,-0.0075894711996629,-0.0084347665432666,-0.0085068963848853,-0.0130657387900941,-0.0176645509992954,-0.0206540749083494,-0.0380939771287333,-0.0492000524069045,-0.0629287079576709,-0.0714268409010385,-0.0873068438038132,-0.0970833962861805,-0.1060822599931758,-0.146033506784714,-0.1803532898397976,-0.2494286946344836,-0.2800005449785186,-0.2952067713336366,-0.3275079565845176,-0.3580099437163826,-0.5949374499594922,-2.074051262265951,-inf
0.021,2,4,0.2132761478424072,0.057761205217861,0.0092093849396343,-0.0046348838802577,-0.0050411771839116,-0.00548730227886,-0.0070460930460042,-0.0073802443224089,-0.0077128210629364,-0.0077199973877156,-0.0077722502770499,-0.0079751326145808,-0.0094925126163451,-0.0127769127526341,-0.0174114287711724,-0.0252426789171227,-0.0370521441791417,-0.0540704959475559,-0.0631789916925244,-0.0687609456134954,-0.0852810739527263,-0.0976457094279454,-0.111334777654422,-0.1372772899701321,-0.1818630239894698,-0.249525840843202,-0.282863041573647,-0.2976500187801636,-0.3341737986477179,-0.3489586184256252,-0.5760201947481404,-2.026226220750282,-inf
0.022,2,4,0.2146897315979004,0.0652635120378316,0.0049507429143453,-0.0044496343038694,-0.0046733679578506,-0.0056601847154014,-0.006043786295134,-0.0075111918681647,-0.0076031130068138,-0.0078991312083896,-0.0079032426676507,-0.0080938940403986,-0.0094791989896096,-0.0123521076498702,-0.0173563443793287,-0.0261411109520088,-0.036072415895598,-0.0495310521936878,-0.0608983411355269,-0.0717235816432001,-0.0813207797304195,-0.0946415377374444,-0.109399588338739,-0.1377350257305149,-0.1855315694128335,-0.2575931755286458,-0.2847516811209806,-0.3043631986904549,-0.3305594993228809,-0.3477143607266005,-0.6274300681324263,-2.0807540367261588,-inf
0.023,2,4,0.1269385814666748,0.0630967557840587,0.0051750163793431,-0.0045963086156197,-0.0046587279568203,-0.0050916386397887,-0.0052306052344631,-0.006727848058651,-0.0075928824740962,-0.0076735507884784,-0.0078289086323015,-0.0078933520781257,-0.0091083757225761,-0.0129336899521498,-0.0168625545207747,-0.0228042631778573,-0.0330113827089451,-0.0430823693815696,-0.0632254387969595,-0.0730119427523024,-0.079157953479731,-0.0900366240219351,-0.1078122402467412,-0.1254992310352855,-0.1817500471892538,-0.2536248413462178,-0.2809628751253243,-0.3021821623265318,-0.3300923970388021,-0.3483271288019287,-0.5562202799888095,-1.859611698181137,-inf
0.024,2,4,0.2101902961730957,0.0623234001022954,0.0131849404774497,-0.0044044898220579,-0.0048486574262404,-0.0049585899856411,-0.0058353084269554,-0.0074082410385539,-0.0076550273196178,-0.0077260503605234,-0.0081449398120082,-0.0081482127749665,-0.0092010165185565,-0.0124991031794036,-0.0157312965974219,-0.0183878370632652,-0.026227652848749,-0.0474402424418658,-0.0571382289292716,-0.0722593832876946,-0.0796692548631151,-0.0961128946924877,-0.1019329023493722,-0.1263597366127522,-0.184189686599465,-0.2507328015589068,-0.2810787272820496,-0.3044249668426049,-0.333369409740856,-0.3483890428219012,-0.5586089104231978,-1.942103624200909,-inf
0.025,2,4,0.20904541015625,0.0629813890653858,0.0042434425032256,-0.0024987113064722,-0.0037950650960549,-0.004439170119052,-0.0047047635872676,-0.0070098088716351,-0.0075533255892141,-0.0077839091650807,-0.0079616259078765,-0.0080635787414738,-0.0093332614387577,-0.0120926787207933,-0.0156476421098669,-0.0169082076581788,-0.0305426060014771,-0.0469074187529396,-0.0575617649358873,-0.0720693660030593,-0.0808063969837281,-0.0900227700857419,-0.1060178674643419,-0.1358919642571128,-0.1807644410664347,-0.247168100387391,-0.2856795214905494,-0.3022680253586821,-0.3375514930780242,-0.3591695223786778,-0.6809398346478053,-2.0657414174207407,-inf
0.026,2,4,0.2050313949584961,0.0586319906589585,0.0078506337237722,-0.0029991122984065,-0.0038330454520295,-0.004063957418761,-0.0046258127099433,-0.0071718652376036,-0.0074357140162621,-0.0076311743246077,-0.0077877574122887,-0.0078468801091142,-0.008393129715295,-0.01177922656676,-0.0158629298213037,-0.0229527257363239,-0.0320537004941801,-0.0403673779295325,-0.0571830734824561,-0.0764620150879429,-0.0816373067592355,-0.0900589684826267,-0.1060920211577423,-0.1296285262007306,-0.1783718696403219,-0.2497403020434849,-0.2855064210557957,-0.3060175057127049,-0.3342093338971755,-0.350695671268829,-0.557118230827123,-2.020910420338429,-inf
0.027,2,4,0.2081758975982666,0.0647371532733191,0.0141238311217042,-0.0002942305642203,-0.0039463664368289,-0.0039611690071826,-0.0042536925187538,-0.0061169739924008,-0.006956657798016,-0.0070270194336451,-0.0075676663578955,-0.0078613579919579,-0.0090847451859009,-0.0114620859515634,-0.0126587726107296,-0.0167451308333994,-0.0317317291647649,-0.0403415466583055,-0.0602861398782666,-0.0740179871264981,-0.0791495376775815,-0.0890153245318775,-0.1007840224982355,-0.1331986885731302,-0.1847101627717232,-0.2497355714936377,-0.2858942693807095,-0.304449638280987,-0.3360460619289996,-0.3594744034393327,-0.5311483088899783,-2.2146993713397114,-inf
0.028,2,4,0.2115726470947265,0.0571376080078589,0.0121420639272275,0.0007157136702194,-0.0040512822152305,-0.0041001824456174,-0.0045232278017285,-0.0064377324018844,-0.0070241658754818,-0.0072061053475035,-0.0073451923086303,-0.0076842724249748,-0.0078585309995896,-0.0106573865102342,-0.0111677546288408,-0.0164152644570363,-0.02418398733715,-0.0400394838870406,-0.055972522127694,-0.0678104041015155,-0.0776117128376151,-0.0862391079841486,-0.1082592276376149,-0.1296313782797778,-0.1837481232339997,-0.2514563169586006,-0.2865993462024167,-0.3070288701113101,-0.3411320796098246,-0.352990109777047,-0.5863316182303496,-1.9481057726329825,-inf
0.029,2,4,0.2079017162322998,0.0586385377223975,0.0172968236751368,-4.825154564695142e-05,-0.003353874563353,-0.0038920636838581,-0.0043684859008494,-0.0065337681073829,-0.0069678011412973,-0.0074262919253609,-0.0076862074953136,-0.0079247935516358,-0.0082609698106825,-0.0084196433089073,-0.0100250866834807,-0.0166238058222828,-0.0283038755429357,-0.0424075214756036,-0.0547468226547086,-0.0718512350435465,-0.0788659286441447,-0.0816551623749186,-0.1025928427996747,-0.1367138162119115,-0.1863918775542181,-0.2429926662319436,-0.2875853653737356,-0.3067617275550987,-0.3399432792791563,-0.3639704086685731,-0.5511256298427738,-1.861360136497514,-inf
0.03,2,4,0.1250519752502441,0.0619357302223432,0.0068899907759823,0.0007603718655425,-0.0039981965203428,-0.0045892801890922,-0.0047716098576827,-0.0070604275661809,-0.0071802624008381,-0.0074097909051583,-0.0074601163866265,-0.0083626902885493,-0.0095439270949677,-0.0105396411773528,-0.011994939546082,-0.0157713215287106,-0.0283817360980997,-0.0428253699336678,-0.0473336323221256,-0.0678250023217535,-0.0764719809742207,-0.0820829757389713,-0.1035288955660491,-0.1366557662040313,-0.1886639294071163,-0.2490430504599653,-0.2854794887035139,-0.3062099809108967,-0.3410893439934997,-0.3967001387666649,-0.6535929355538427,-2.105032903270026,-inf
0.031,2,4,0.1294558048248291,0.0620547699263645,0.0142135252150535,0.000432983207091,-0.0034917087213762,-0.0038761830997723,-0.0044374420230545,-0.0068035875486199,-0.0070901579462995,-0.0072748400239624,-0.007895813012576,-0.0081393230940762,-0.0083065555318002,-0.0113340756154397,-0.0125985416716864,-0.0159151979156301,-0.0287662535499294,-0.0399189574060744,-0.0496954714466515,-0.0655596232519741,-0.0722997441451018,-0.0812295052279174,-0.0979633265738517,-0.1298480993559338,-0.1915573018154298,-0.2481701590075425,-0.2890971485843601,-0.3053193709688461,-0.3434409378440664,-0.3729049422497236,-0.62178981823144,-2.0656110286511606,-inf
0.032,2,4,0.2091486454010009,0.0623954065601996,0.0147902901920475,0.0026352577284868,-0.0040184106251869,-0.0043735812435113,-0.0047331563924918,-0.0059684376163542,-0.0067025309474005,-0.0070181628393673,-0.007055167940257,-0.0087419458176108,-0.0092822060894629,-0.0105482942150724,-0.0134558872604507,-0.0151406491612423,-0.0265552771916149,-0.0365204264046179,-0.0535963931347151,-0.0650412147789825,-0.0744182369607815,-0.0832215829801084,-0.0953092906205635,-0.133386162925971,-0.1887760988755235,-0.2496800643619233,-0.2898674592619822,-0.3106314946549522,-0.3393279924221967,-0.3604571910559573,-0.5410055811795248,-1.9600683605528864,-inf
0.033,2,4,0.2058784961700439,0.0575753840261887,0.0125553165774548,0.0043793603787968,-0.0010938291530912,-0.0037664411391786,-0.0046498118219928,-0.0060838681050762,-0.0068297890643261,-0.0068697217957085,-0.0076821704390969,-0.008124414368105,-0.009846728172077,-0.0122683917440109,-0.0124108384650335,-0.0145701191740437,-0.0213495693780986,-0.0355083712497366,-0.0510252531630958,-0.0630242687887467,-0.0727625065806356,-0.083834514942596,-0.0958896032119097,-0.1281919281014189,-0.1928616339790289,-0.2480171154712664,-0.2926107430714428,-0.3088664721795616,-0.34317861528459,-0.3648402069135034,-0.555130990864204,-2.000751874492325,-inf
0.034,2,4,0.1280083656311035,0.0608929157555698,0.0191210133179066,0.008691873852493,0.0034686127025185,-0.0034089991039019,-0.0048106802673681,-0.0066814585455465,-0.0069020631708877,-0.0071478935049184,-0.007922957441034,-0.0079655970809655,-0.0089720961772371,-0.0099237366244634,-0.011074904717127,-0.0149246256182453,-0.0207932099390222,-0.0336635995988889,-0.0474768269251196,-0.0617236433813998,-0.0749012133616813,-0.0856483920230088,-0.1009955135710008,-0.13992165234786,-0.1850675400215879,-0.2457994559716739,-0.2938680029464243,-0.3104532012325773,-0.3464855005743359,-0.3693094278574303,-0.6089303531656335,-2.0925423872665068,-inf
0.035,2,4,0.127281904220581,0.061906043214683,0.0182371839198627,0.0070589592077144,-0.0014949436367589,-0.0036921666365888,-0.0042470639810509,-0.0060816123615125,-0.0064202932637115,-0.0067736007771811,-0.0070889131757042,-0.0078500261466508,-0.009905065649561,-0.011345987821759,-0.0123404435437069,-0.0135814829958464,-0.0223178885973543,-0.0313338227459008,-0.0461544294342222,-0.060179844789827,-0.068323514955176,-0.0807664797880292,-0.095815818128815,-0.1411122250334369,-0.1890104680584101,-0.2516111997090067,-0.2916902378331424,-0.3135861835546155,-0.3478927032160518,-0.3652431824098909,-0.5499988698346178,-1.8597148609792389,-inf
0.036,2,4,0.2048234939575195,0.0614952839597991,0.0161874082124643,0.0061997727776822,0.0032845389887499,-0.0040280846678115,-0.0044974734578824,-0.0067177531317653,-0.0067399105529503,-0.0071526481216165,-0.0074468629107257,-0.0077933009415359,-0.0091618863710549,-0.0098272390772205,-0.0121824091479891,-0.0163325412281405,-0.0199461638983873,-0.0351241877694511,-0.0458540108648068,-0.0660114315510245,-0.0719228126409261,-0.0853900757005822,-0.0977942428261359,-0.1415015319162555,-0.1880471063077992,-0.2494709683875829,-0.2944306477578597,-0.3136401590183987,-0.3448610977512059,-0.3687832265876431,-0.5542618132069966,-1.966160320134464,-inf
0.037,2,4,0.1255826950073242,0.0586121805981482,0.0251147653865754,0.0141993723999503,0.00367213115694,-0.0035642522721842,-0.0045089004996473,-0.0059500677656481,-0.0067676326717583,-0.0067962318483356,-0.0073557935572378,-0.0079453009455219,-0.0091819722779636,-0.0104730089034835,-0.0107309398769578,-0.0156736128453804,-0.0179313084039811,-0.0315190113271938,-0.0466588697537226,-0.0620845388773525,-0.0694502876917709,-0.0823726385096208,-0.1011363390370293,-0.1357905180599234,-0.1856725123525366,-0.2463677391341946,-0.2941108601636946,-0.3163095597889841,-0.3474529157278455,-0.3649438755814538,-0.5485107989206884,-2.0103917250489287,-inf
0.038,2,4,0.1290011405944824,0.0578188417817573,0.0244221232506717,0.0163824884285779,0.0092007523248533,-0.003121301021109,-0.0047737609188158,-0.0058721023757448,-0.0059994337905203,-0.0067586963170058,-0.0071261268054246,-0.008339395641351,-0.0092156946637705,-0.0108253639867046,-0.0114735067013755,-0.0144116366634496,-0.0185066268442555,-0.0314972391989923,-0.0387353855675673,-0.0585634552614368,-0.0676626912638878,-0.0829764809830183,-0.0985375439884239,-0.1378734768961503,-0.1861713014691206,-0.244129757400903,-0.2988528240431752,-0.3147628118362472,-0.3492853330044022,-0.3625009630826457,-0.5001910266409846,-1.823570055944808,-inf
0.039,2,4,0.2256948947906494,0.0587960057252388,0.0250253189296103,0.0142666613248227,0.0032793349326966,-0.0025270788596884,-0.0041816935701592,-0.0055639400776662,-0.0056849111577193,-0.0059785770877849,-0.0060932194731736,-0.0063430114604074,-0.0081733942039155,-0.0112686717428924,-0.0122838668721836,-0.0135478982737652,-0.0250258030219297,-0.031414569131756,-0.0478997503418186,-0.0546234691706643,-0.0652419277612389,-0.080243492680737,-0.0987414435531521,-0.1477024072976221,-0.1844293068288155,-0.2482718673102268,-0.2958301971228872,-0.3168852067508214,-0.3529150125057828,-0.3725285722550643,-0.5386168488130331,-2.085003423368746,-inf
0.04,2,4,0.2049283981323242,0.0553722662939328,0.0238287620866299,0.0127893317386378,0.0050985514494375,-0.0025549528696145,-0.0045273587563381,-0.0058184236167698,-0.0062462509578383,-0.0063310152858558,-0.0075520538570063,-0.0076786970332379,-0.008369333837907,-0.0112571683205453,-0.0119288366272947,-0.016366120491981,-0.0184495800153039,-0.0304172386649491,-0.0395708164480823,-0.0577372679691547,-0.0701345139063703,-0.0796730584766807,-0.0988247840765806,-0.1441736750971248,-0.1838201738751858,-0.2514329535660656,-0.2944375466480816,-0.31581436072489,-0.3523656521956307,-0.3909322399732979,-0.616406369033827,-1.9954711353944024,-inf
