g_value,n,lambda_1,current_zeta_value,runtime
0.0322,2,0.009465829589435,8,0.8149898052215576
0.0324,2,0.0086674276863484,8,0.8124773502349854
0.0326,2,0.0113700248810478,8,0.8332152366638184
0.0328,2,0.0127873202935619,8,0.814483642578125
0.033,2,0.012212818055187,8,0.815845251083374
0.0332,2,0.0149879140078659,8,0.8123605251312256
0.0334,2,0.0131490682748113,8,0.8089702129364014
0.0336,2,0.0126254856895053,8,0.8080430030822754
0.0338,2,0.0135164876068143,8,0.8105905055999756
0.034,2,0.0143553608896807,8,0.8174948692321777
0.0342,2,0.0136976268034411,8,0.8174912929534912
0.0344,2,0.0135806301964545,8,0.8101696968078613
0.0346,2,0.0156915517146131,8,0.8096683025360107
0.0348,2,0.0151389244904089,8,0.8106286525726318
0.035,2,0.0165062630173018,8,0.8161134719848633
0.0352,2,0.0172854691525786,8,0.8118307590484619
0.0354,2,0.0185796991864219,8,0.8175559043884277
0.0356,2,0.0174471204848295,8,0.8041362762451172
0.0358,2,0.0184524640492977,8,0.8203029632568359
0.036,2,0.0196114416245925,8,0.809441089630127
0.0362,2,0.0186984248077616,8,0.8091413974761963
0.0364,2,0.0184878806097273,8,0.8264713287353516
0.0366,2,0.0202227592580539,8,0.8078904151916504
0.0368,2,0.0201708573486486,8,0.8054378032684326
0.037,2,0.0197165738084863,8,0.8169283866882324
0.0372,2,0.0201074513668961,8,0.8152327537536621
0.0374,2,0.0223364147676355,8,0.816084623336792
0.0376,2,0.0219908229857953,8,0.8103609085083008
0.0378,2,0.021052890584338,8,0.8094215393066406
0.038,2,0.0206184619363972,8,0.8126392364501953
0.0382,2,0.0234947791427568,8,0.8183372020721436
0.0384,2,0.023536516403476,8,0.8124372959136963
0.0386,2,0.0233764842346777,8,0.8095335960388184
0.0388,2,0.0229828989384516,8,0.8247103691101074
0.039,2,0.0243421762816431,8,0.8158316612243652
0.0392,2,0.0250645992247563,8,0.9184005260467528
0.0394,2,0.0260928586754019,8,0.8133273124694824
0.0396,2,0.026615743968994,8,0.8136932849884033
0.0398,2,0.0248490425073909,8,0.814826488494873
0.04,2,0.0263112834999595,8,0.8102231025695801
0.0402,2,0.0262514746121125,8,0.8071942329406738
0.0404,2,0.0261724516923383,8,0.8164525032043457
0.0406,2,0.027221733633684,8,0.8254458904266357
0.0408,2,0.027109723475875,8,0.8177368640899658
0.041,2,0.0267056325964987,8,0.810126781463623
0.0412,2,0.0276998168509213,8,0.8104398250579834
0.0414,2,0.0287425306443284,8,0.8132479190826416
0.0416,2,0.0289623156585833,8,0.8138234615325928
0.0418,2,0.0287310197821424,8,0.8118152618408203
0.042,2,0.0284893309900418,8,0.8072357177734375
0.0422,2,0.0291945091461187,8,0.8176319599151611
0.0424,2,0.0292589639618587,8,0.8164424896240234
0.0426,2,0.0303968345353941,8,0.8109004497528076
0.0428,2,0.0310488246351141,8,0.8136932849884033
0.043,2,0.030499914310411,8,0.8119206428527832
0.0432,2,0.0309920443991319,8,0.8216009140014648
0.0434,2,0.030260530690882,8,0.8147835731506348
0.0436,2,0.0313085613868124,8,0.8113045692443848
0.0438,2,0.032119646987307,8,0.81319260597229
0.044,2,0.0332208762661841,8,0.8109378814697266
0.0442,2,0.0335112896371446,8,0.8123800754547119
0.0444,2,0.0336518472911583,8,0.8160319328308105
0.0446,2,0.0333228273778192,8,0.814985990524292
0.0448,2,0.0323671938822166,8,0.8083860874176025
0.045,2,0.0333252931412098,8,0.8110401630401611
0.0452,2,0.0339014345770407,8,0.8238735198974609
0.0454,2,0.0347833203799079,8,0.8086166381835938
0.0456,2,0.0349643815265304,8,0.81565260887146
0.0458,2,0.0348218375282878,8,0.8321704864501953
0.046,2,0.0340850798361223,8,0.8329493999481201
0.0462,2,0.0360911036862501,8,0.8159885406494141
0.0464,2,0.0365759238078628,8,0.8089599609375
0.0466,2,0.0362889188305514,8,0.8086891174316406
0.0468,2,0.0363320179634398,8,0.8072831630706787
0.047,2,0.0361194967550344,8,0.8135061264038086
0.0472,2,0.0354587769970345,8,0.8192708492279053
0.0474,2,0.0366335515181083,8,0.8146088123321533
0.0476,2,0.0380559408429858,8,0.824714183807373
0.0478,2,0.038204935088562,8,0.812924861907959
0.048,2,0.0381050603035321,8,0.8073902130126953
0.0482,2,0.0379472674058055,8,0.8099596500396729
0.0484,2,0.0386914015370501,8,0.8178386688232422
0.0486,2,0.0385134940618804,8,0.8219552040100098
0.0488,2,0.0386537950664606,8,0.8088321685791016
0.049,2,0.0391858960901183,8,0.8229682445526123
0.0492,2,0.0393637127927285,8,0.8250117301940918
0.0494,2,0.0406915366120184,8,0.8218252658843994
0.0496,2,0.0398225616380946,8,0.8261704444885254
0.0498,2,0.0403424030194348,8,0.809326171875
0.05,2,0.0410834574310266,8,0.8287522792816162
0.0502,2,0.0404337603165698,8,0.8145811557769775
0.0504,2,0.0421416946665767,8,0.8113181591033936
0.0506,2,0.0421305079521266,8,0.8146836757659912
0.0508,2,0.0424024071663549,8,0.8050880432128906
