g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.027,2,4,0.2083115577697754,0.0378436450421884,0.0284983745224335,0.0223776597408777,0.0220386782771542,0.009553436206587,0.0084133106300886,1.1343837225724906e-05,-0.0006816478227429,-0.0052980368429882,-0.0071412832867058,-0.0119578097375975,-0.0143121071204897,-0.0197798295258494,-0.0207745673063122,-0.0270378336388082,-0.0296751388950589,-0.0416736987336588,-0.0438266811918851,-0.0469160181888755,-0.0532139004124515,-0.0581531969059676,-0.0752045666893507,-0.0886225416064054,-0.1063718946705377,-0.1211758547171322,-0.1541174049046982,-0.2169144336780153,-0.3255934826739344,-0.6412111323210848,-1.6220661418971591,-4.93683638246981,-inf
0.028,2,4,0.2147989273071289,0.0377421212682464,0.0304928894094392,0.0210328014047475,0.0184288883847025,0.0111995964056657,0.0051159841092834,0.0044866394600842,9.17331380147844e-06,-0.0040928801963328,-0.0048672000629657,-0.0102954340207599,-0.0107836572967478,-0.0217683849338298,-0.0224382061066904,-0.0271283257305772,-0.032584241428606,-0.0415339381297571,-0.0421098145729158,-0.0483897576764376,-0.0548930706865361,-0.0618633556276282,-0.0731637710544083,-0.0904522293977833,-0.1021681459367523,-0.1199256071664579,-0.1592903380519672,-0.2055402080722136,-0.3187733652682359,-0.5753208022879034,-1.4660664304142366,-4.781395202030697,-inf
0.029,2,4,0.2079780101776123,0.040442162521092,0.0293584688518016,0.0235818785317506,0.0223286504583065,0.013542687392007,0.0082952363450247,0.0006609103028405,-0.0005136818301073,-0.0041325122144441,-0.0054698330570148,-0.0120894580028841,-0.0128652559298478,-0.0196744632907151,-0.0213663037177238,-0.0239776862499976,-0.0278508763021623,-0.038172158170741,-0.0423287776851693,-0.0512678513822583,-0.0560185082028242,-0.065280895672607,-0.0729131995377323,-0.0925800248048921,-0.1037954989739972,-0.1320363523941673,-0.1664830869572798,-0.2241121956655788,-0.3511524147168248,-0.5867511894181772,-1.5850548506116708,-4.770714501487369,-inf
0.03,2,4,0.1251511573791504,0.0372768611401547,0.0330740403700363,0.024454008455142,0.0208929121614293,0.0105701833531018,0.0101183967658604,0.0040427529135125,6.545067694411847e-05,-0.0037938816586063,-0.0045047738973841,-0.0087069025315876,-0.0143519785105512,-0.018012209175866,-0.0181410489668192,-0.0248491504299315,-0.0262452774221369,-0.0404116666967762,-0.041236947138274,-0.0491029135749135,-0.0512164063484511,-0.061446759675707,-0.070783541997044,-0.0865683042437196,-0.1057221406859079,-0.1331167349404092,-0.1655580225757006,-0.2309214932291513,-0.3171593587132983,-0.5675034025989447,-1.5503429670675737,-4.837614699290166,-inf
0.031,2,4,0.1276271343231201,0.0369292385155939,0.030325789139802,0.0227232233513044,0.0165798183224283,0.011147484550349,0.0075543351751428,0.0007653678073538,-0.0010849531942085,-0.0049408488680187,-0.0055764860718846,-0.0107386098928336,-0.0124011145775362,-0.0176618271984222,-0.0195597530301181,-0.025793514852568,-0.0299052933997224,-0.0395240096164324,-0.0439300188393348,-0.0509244066664302,-0.0562653549200633,-0.0658447599803499,-0.0728244647397844,-0.0879316210669554,-0.1029118660637559,-0.1321478806224602,-0.1597970899771484,-0.2202876482019749,-0.3151298836032838,-0.5716770179407951,-1.476553953835324,-4.913287248965669,-inf
0.032,2,4,0.2055974006652832,0.0393334237628083,0.0326947693711998,0.0248011558551298,0.0224504234912165,0.0141681886679976,0.0122596430858528,0.002211941119928,-0.0002009642750372,-0.0051325070656605,-0.0052997921874056,-0.0079203091397789,-0.0106469068465067,-0.0155240250248973,-0.018071614209107,-0.0228120446253894,-0.0279796840362475,-0.0366668082935261,-0.042219223958727,-0.0439893884661685,-0.0497244093102126,-0.0560421782075425,-0.0692845150474854,-0.0853707292474464,-0.0957390306839162,-0.1199579495851214,-0.1595378579770943,-0.2016089876477557,-0.3124199800781186,-0.5258646044855934,-1.6518619873181113,-inf,-inf
0.033,2,4,0.2066762447357177,0.0419468526641511,0.0350115022252712,0.0237902755908123,0.0184558058046267,0.0154194482254147,0.013547323449819,0.0038996681900084,0.0032283419691681,-0.0034578118638498,-0.0041746385914017,-0.0088787168839925,-0.0110588112025166,-0.0158387695648847,-0.0160108672896071,-0.0220067324908357,-0.0246038794678566,-0.0358188246338817,-0.0406354816718749,-0.0441588631147213,-0.0523845537977811,-0.0593253204139948,-0.0671590837267186,-0.0838517553469381,-0.1040110295921611,-0.1220120508227676,-0.151287121554801,-0.2083111388562365,-0.3062422946735837,-0.5963811260534533,-1.699911475267745,-5.068030670330091,-inf
0.034,2,4,0.1272099018096923,0.0421422922151835,0.0305883106147337,0.0255445806019026,0.0193716219221934,0.0154177359106101,0.0084427123379746,0.0016680119879334,0.0010169583845442,-0.0063107438575386,-0.007311522771859,-0.0103851834873111,-0.0107012336881232,-0.0157657660284886,-0.0165960262768699,-0.0228544874035738,-0.0257754936358961,-0.0357095242377519,-0.0378580132686531,-0.0491844858072544,-0.0556920314354501,-0.0601219659509167,-0.0681607142559068,-0.0887117386998579,-0.104508828094773,-0.1270408415407052,-0.1609173885913686,-0.2202745290731552,-0.308488366962671,-0.5929124967728061,-1.4771143068754118,-4.845372900173436,-inf
0.035,2,4,0.127587080001831,0.0371847122102978,0.0330717037024542,0.0245900809099575,0.0207344906081539,0.0158808132351052,0.009115147537703,0.0030280643259562,0.0007194458436209,-0.004883460311263,-0.0052679309790293,-0.0083932896556795,-0.0103245232414353,-0.0146634803029066,-0.0175979989765603,-0.021626364664054,-0.026199622202928,-0.0362369353801014,-0.0376647446170339,-0.0460255675530773,-0.0519102552292644,-0.0590151561409545,-0.0720185971886165,-0.0906650131871495,-0.1024198564415596,-0.121218136397328,-0.1609885880876769,-0.2136706680102379,-0.3132268680518318,-0.627747735907276,-1.5348528248465914,-5.085878950930154,-inf
0.036,2,4,0.2063865661621093,0.039620444668998,0.0346912250033326,0.0284679353912155,0.0231906600325477,0.0142095085293857,0.0117805918341408,0.007064540510824,0.0019771070435649,-0.0022003520046975,-0.0054917758659664,-0.006678067338636,-0.0079800339599223,-0.0131614459917273,-0.0163659154396424,-0.0219175639407969,-0.0227422653217507,-0.0355043727767555,-0.0369864097136633,-0.0469924385961511,-0.0528012837287062,-0.0599094265195756,-0.0710566129340276,-0.0854340142455376,-0.1018015137222342,-0.1251016030561847,-0.1578595631295327,-0.2123082793296593,-0.3267310814166346,-0.5605794754681175,-1.413352321803507,-inf,-inf
